year	month	Open	High	Low	Close	Volume	Adj.Close*
1928	10	239.43	260.39	233.6	252.16	42231	252.16
1928	11	252.16	299.35	251.56	293.38	56690	293.38
1928	12	290.8	301.61	254.36	300	42720	300
1929	1	300.31	319.96	292.89	317.51	48036	317.51
1929	2	317.51	324.51	293.4	317.41	43411	317.41
1929	3	317.79	324.4	281.51	308.85	50750	308.85
1929	4	304.21	321.09	294.11	319.29	36768	319.29
1929	5	319.29	331.01	290.02	297.41	40063	297.41
1929	6	299.12	335.25	298.53	331.65	33005	331.65
1929	7	333.79	350.26	332.23	347.7	40768	347.7
1929	8	347.7	383.96	336.13	380.33	42104	380.33
1929	9	380.33	386.1	341.06	343.45	47180	343.45
1929	10	343.45	358.77	212.33	273.51	61217	273.51
1929	11	269.75	269.75	195.35	238.95	44800	238.95
1929	12	238.95	267.56	226.39	248.48	36928	248.48
1930	1	248.48	268.71	241.78	267.14	27736	267.14
1930	2	268.41	275	259.78	271.11	35089	271.11
1930	3	273.24	289.13	268.94	286.1	43152	286.1
1930	4	286.1	297.25	272.24	279.23	51723	279.23
1930	5	279.23	281.95	249.82	275.07	34180	275.07
1930	6	275.07	276.86	207.74	226.34	35428	226.34
1930	7	226.34	243.65	214.64	233.99	21445	233.99
1930	8	233.99	241.35	214.49	240.42	18195	240.42
1930	9	240.42	247.21	201.95	204.9	25276	204.9
1930	10	205.92	216.89	181.53	183.35	28104	183.35
1930	11	184.89	191.28	168.32	180.91	25677	180.91
1930	12	183.39	187.96	154.45	164.58	25204	164.58
1931	1	164.58	175.66	160.09	169.34	18971	169.34
1931	2	167.55	196.96	165.6	190.34	34161	190.34
1931	3	189.66	191.93	170.64	172.36	28168	172.36
1931	4	172.36	174.69	141.78	151.19	25476	151.19
1931	5	151.19	155.65	127.3	128.46	21419	128.46
1931	6	128.4	156.59	119.89	150.18	25381	150.18
1931	7	150.18	156.74	133.7	135.39	14521	135.39
1931	8	136.65	145.05	132.55	139.41	11000	139.41
1931	9	139.41	140.54	95.76	96.61	23990	96.61
1931	10	96.61	109.69	85.51	103.97	21623	103.97
1931	11	105.43	119.15	89.35	93.87	18089	93.87
1931	12	93.38	93.38	71.79	77.9	21627	77.9
1932	1	74.06	87.78	69.85	76.55	15985	76.55
1932	2	76.32	89.84	70.64	81.44	14847	81.44
1932	3	81.44	89.87	72.49	73.28	14000	73.28
1932	4	73.28	74.38	55.37	55.93	14219	55.93
1932	5	56.11	59.76	44.27	44.74	10671	44.74
1932	6	44.74	51.43	42.31	42.84	9636	42.84
1932	7	42.84	54.68	40.56	53.89	11655	53.89
1932	8	54.26	77.01	52.4	73.16	34043	73.16
1932	9	73.16	81.39	64.27	71.56	29785	71.56
1932	10	72.09	72.63	57.67	61.9	13155	61.9
1932	11	61.57	68.27	55.94	56.35	11020	56.35
1932	12	56.35	62.89	55.58	60.26	10538	60.26
1933	1	59.93	65.28	58.87	60.9	8733	60.9
1933	2	60.89	60.89	49.68	51.39	10094	51.39
1933	3	51.39	64.56	50.25	55.4	12512	55.4
1933	4	55.66	75.2	55	73.1	25042	73.1
1933	5	77.66	91.33	75.61	88.11	45595	88.11
1933	6	88.11	100.48	86.48	98.14	54340	98.14
1933	7	101.64	110.53	84.45	90.77	55560	90.77
1933	8	90.77	105.6	89.61	102.41	18947	102.41
1933	9	102.41	107.68	92.44	94.24	20845	94.24
1933	10	94.82	100.58	83.57	88.16	17857	88.16
1933	11	88.16	101.94	86.83	98.14	16080	98.14
1933	12	98.41	103.97	93.7	98.67	16100	98.67
1934	1	99.9	110.06	96.26	107.22	24245	107.22
1934	2	107.94	111.93	102.21	103.46	28611	103.46
1934	3	103.46	105.99	97.41	100.31	13023	100.31
1934	4	101.85	107	100.31	100.49	13719	100.49
1934	5	100.49	101.36	89.1	94	10586	94
1934	6	93.71	101.11	91.7	95.75	7214	95.75
1934	7	95.71	99.35	84.58	88.05	9423	88.05
1934	8	88.55	95.59	86.32	92.86	6908	92.86
1934	9	92.59	94.05	85.72	92.49	6305	92.49
