date	volume	sp500	IBM	sp.ret	ibm.ret
1-Aug-03	5876670	993.71	81.96	0.343	1.073
1-Jul-03	7362086	990.31	81.09	1.622	-1.518
2-Jun-03	9163771	974.5	82.34	1.132	-6.304
1-May-03	7415819	963.59	87.88	5.090	3.902
1-Apr-03	8872342	916.92	84.58	8.104	8.283
3-Mar-03	9624114	848.18	78.11	0.836	0.618
3-Feb-03	8013573	841.15	77.63	-1.700	-0.129
2-Jan-03	9767136	855.7	77.73	-2.741	0.909
2-Dec-02	7469070	879.82	77.03	-6.033	-10.896
1-Nov-02	9370940	936.31	86.45	5.707	10.380
1-Oct-02	12847417	885.76	78.32	8.645	35.760
3-Sep-02	9934225	815.28	57.69	-11.002	-22.833
1-Aug-02	7787490	916.07	74.76	0.488	7.368
1-Jul-02	11771613	911.62	69.63	-7.900	-2.246
3-Jun-02	10096315	989.82	71.23	-7.246	-10.605
1-May-02	8084754	1067.14	79.68	-0.908	-3.815
1-Apr-02	11608509	1076.92	82.84	-6.142	-19.635
1-Mar-02	7830800	1147.39	103.08	3.674	6.049
1-Feb-02	9487368	1106.73	97.2	-2.077	-9.014
2-Jan-02	9687614	1130.2	106.83	-1.557	-10.901
3-Dec-01	6845325	1148.08	119.9	0.757	4.689
1-Nov-01	6701623	1139.45	114.53	7.518	7.168
1-Oct-01	10066486	1059.78	106.87	1.810	18.062
4-Sep-01	13359313	1040.94	90.52	-8.172	-8.334
1-Aug-01	6588178	1133.58	98.75	-6.411	-4.929
2-Jul-01	7934257	1211.23	103.87	-1.077	-7.391
1-Jun-01	7257480	1224.42	112.16	-2.500	1.539
1-May-01	7549104	1255.82	110.46	0.509	-2.815
2-Apr-01	11678405	1249.46	113.66	7.681	20.021
1-Mar-01	12000513	1160.33	94.7	-6.420	-3.780
