office	year	overhead	size	age	employees	col	clients
1	1	218955	1589	3	15	1.03	2450
2	1	224513	1912	19	15	1.00	2310
3	1	66542	741	2	5	0.99	887
4	1	212349	1839	3	17	0.93	2655
5	1	161915	1478	14	13	0.98	2213
6	1	42469	744	11	3	0.99	518
7	1	55379	790	14	4	0.95	807
8	1	100955	925	21	8	1.05	1149
9	1	111487	1364	3	9	1.05	1490
10	1	117974	1197	7	9	1.01	1559
11	1	56248	689	6	5	1.06	708
12	1	64782	742	20	4	0.97	818
13	1	70893	501	9	5	1.09	943
14	1	103057	1088	9	9	0.99	1613
15	1	137049	1268	8	11	0.96	1913
16	1	136687	1156	19	12	0.96	1888
17	1	67731	807	19	4	1.04	739
18	1	160098	1778	15	14	0.92	2134
19	1	222472	1533	15	14	1.07	2332
20	1	153061	1686	18	13	0.96	2155
21	1	171788	1560	8	12	0.95	1879
22	1	167373	1612	4	12	1.03	2040
23	1	188435	1812	15	14	1.00	2147
24	1	35099	607	11	2	0.95	492
1	2	202705	1589	4	15	1.04	2693
2	2	177178	1912	20	16	1.00	2464
3	2	71078	741	3	3	1.00	971
4	2	184870	1839	4	17	0.94	2944
5	2	198487	1478	15	13	0.98	2611
6	2	46244	744	12	3	0.98	559
7	2	56298	790	15	5	0.94	810
8	2	97222	925	22	8	1.05	1260
9	2	109829	1364	4	6	1.05	1538
10	2	107554	1197	8	7	1.01	1764
11	2	54091	689	7	5	1.06	736
12	2	59731	742	21	3	0.98	842
13	2	61025	501	10	2	1.09	899
14	2	121201	1088	10	7	0.99	1758
15	2	163783	1268	9	11	0.96	2048
16	2	161915	1156	20	9	0.96	2057
17	2	49497	807	20	3	1.04	716
18	2	149595	1778	16	13	0.93	2423
19	2	198631	1533	16	14	1.06	2454
20	2	176763	1686	19	12	0.96	2246
21	2	152017	1560	9	10	0.95	1846
22	2	146462	1612	5	10	1.03	2242
23	2	202638	1812	16	13	1.00	2401
24	2	27105	607	12	1	0.95	469
