size	age	office	ratio	location	value
0.848	35	5.8	26.6	1.0	4.32
1.813	37	3.2	17.3	1.0	6.74
1.297	50	19.0	45.1	1.0	6.36
1.747	23	10.2	13.3	1.0	5.95
1.258	30	2.9	20.5	1.0	2.16
3.337	20	5.0	7.1	1.0	13.40
1.438	40	2.1	30.1	1.0	4.06
1.108	30	4.3	37.0	1.0	4.90
1.807	10	3.9	12.2	1.0	17.49
1.184	36	2.0	28.3	1.0	7.44
2.831	18	3.8	6.1	1.0	7.40
1.819	40	3.2	48.7	1.0	1.26
1.042	22	2.1	8.2	1.0	13.37
0.928	25	1.0	12.0	1.0	1.91
1.117	24	7.0	13.3	1.0	2.19
1.137	22	3.0	21.7	1.0	9.28
2.067	55	4.3	40.6	1.0	0.15
1.013	9	7.0	43.9	1.0	35.68
0.655	18	10.4	15.4	1.0	10.26
2.866	26	3.3	58.2	1.0	2.48
3.903	20	5.3	58.2	1.0	6.13
0.861	30	16.0	25.3	1.0	6.29
2.555	19	6.6	29.0	1.0	4.80
1.127	39	7.1	39.1	1.0	1.43
1.207	30	3.0	20.2	1.0	6.86
1.927	30	23.0	34.3	1.0	7.42
0.857	14	4.4	32.1	1.0	31.94
2.930	35	21.0	37.6	1.0	5.16
0.751	20	5.0	28.2	1.0	3.42
2.166	33	5.0	39.5	1.0	5.72
1.016	25	1.0	32.6	1.0	14.18
1.235	25	1.7	15.6	1.0	3.61
2.100	35	3.0	31.7	1.0	1.82
1.333	35	12.0	19.9	1.0	11.26
1.850	35	33.8	41.1	1.0	1.51
1.471	19	2.0	9.6	0.0	8.92
0.746	32	3.3	16.7	0.0	3.00
1.183	37	3.2	38.8	0.0	0.00
