fascia	side	block	treatment	ghosting										
1	L	1	1	4										
1	L	1	2	0										
1	R	2	1	4										
1	R	2	2	3										
2	L	3	1	5										
2	L	3	2	5										
2	R	4	1	9										
2	R	4	2	3										
3	L	5	1	6										
3	L	5	2	2										
3	R	6	1	6										
3	R	6	2	2										
4	L	7	1	5										
4	L	7	2	3										
4	R	8	1	5										
4	R	8	2	3										
5	L	9	1	0										
5	L	9	2	0										
5	R	10	1	1										
5	R	10	2	0										
6	L	11	1	1										
6	L	11	2	0										
6	R	12	1	2										
6	R	12	2	0										
7	L	13	1	6										
7	L	13	2	5										
7	R	14	1	4										
7	R	14	2	1										
8	L	15	1	1										
8	L	15	2	1										
8	R	16	1	3										
8	R	16	2	1
9	L	17	1	1
9	L	17	2	2
9	R	18	1	4
9	R	18	2	1
10	L	19	1	5
10	L	19	2	3
10	R	20	1	5
10	R	20	2	2
11	L	21	1	7
11	L	21	2	4
11	R	22	1	5
11	R	22	2	4
12	L	23	1	1
12	L	23	2	0
12	R	24	1	2
12	R	24	2	1
13	L	25	1	1
13	L	25	2	2
13	R	26	1	3
13	R	26	2	2
14	L	27	1	1
14	L	27	2	0
14	R	28	1	1
14	R	28	2	1
15	L	29	1	3
15	L	29	2	2
15	R	30	1	3
15	R	30	2	1
