x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	y
10.692	12.438	13.342	11.163	11.542	10.592	10.085	12.198	11.811	12.004	11.364
7.956	9.432	9.755	8.173	9.378	9.212	9.188	9.901	8.593	9.301	12.989
10.273	10.586	12.158	10.214	10.165	10.599	10.557	10.585	10.406	10.804	14.387
12.525	11.538	13.381	12.213	14.232	11.696	12.549	10.627	11.728	13.859	16.801
9.896	9.815	10.538	9.629	9.487	8.577	9.749	9.608	9.571	10.328	13.616
11.596	12.700	10.397	12.196	11.967	11.853	8.814	10.520	11.397	11.608	11.846
8.133	8.390	8.919	8.980	8.888	8.728	9.209	9.010	8.127	9.757	11.830
9.671	10.143	9.839	10.264	10.315	9.487	9.176	9.834	9.766	10.236	9.704
10.346	10.803	10.921	11.430	9.284	11.744	10.058	11.832	11.462	11.068	9.347
8.751	9.927	8.877	8.513	8.675	7.872	7.834	8.916	8.493	8.012	8.955
10.506	9.934	9.414	9.874	10.417	9.326	9.875	10.431	10.570	10.715	12.398
12.881	12.443	11.588	13.274	12.069	13.545	10.683	11.542	12.806	12.809	12.385
7.181	6.148	5.634	6.738	6.887	8.107	9.752	10.054	8.616	6.481	11.191
9.358	9.979	10.712	9.416	9.874	9.871	9.476	10.739	9.999	10.707	14.948
9.821	10.644	8.508	9.468	9.497	9.650	9.498	8.859	9.487	9.779	14.787
9.420	9.790	9.982	10.577	10.113	11.441	10.043	10.913	10.418	11.369	8.939
7.631	7.883	10.356	6.577	8.871	5.634	9.572	9.146	7.628	7.053	13.603
10.220	10.493	10.855	10.444	10.228	11.207	9.703	11.524	11.233	11.331	12.143
8.430	8.172	8.841	8.771	8.726	8.983	10.006	9.225	8.684	8.466	13.457
8.477	9.070	7.862	7.321	5.123	6.636	7.959	9.259	8.730	6.610	10.809
10.073	10.043	8.941	11.119	11.449	12.201	9.890	11.165	10.899	11.244	11.975
9.148	9.631	9.845	9.878	10.230	12.234	9.688	10.695	9.825	10.299	7.015
7.729	9.089	9.558	7.305	9.033	8.393	9.014	10.317	8.727	7.511	13.977
8.783	8.361	8.832	9.783	8.243	9.258	9.714	9.984	9.367	9.727	9.462
10.383	10.033	11.347	10.894	10.851	11.245	10.525	10.605	10.576	12.399	10.698
10.308	10.250	11.915	10.155	10.772	9.185	10.536	10.442	10.217	10.678	13.153
10.371	10.859	10.043	10.240	10.985	11.396	9.833	9.711	9.985	10.543	13.636
12.461	11.302	10.963	13.307	14.053	12.944	12.021	10.634	11.844	13.186	11.394
7.633	6.452	8.705	7.696	8.090	7.256	10.157	8.636	7.530	8.730	12.669
7.398	7.812	6.334	7.363	6.131	7.152	8.488	8.314	7.670	5.975	11.919
15.577	15.469	16.548	14.814	15.682	13.861	13.743	12.331	14.816	15.108	22.279
14.698	13.943	14.028	15.035	15.612	13.764	13.161	12.565	14.451	15.851	19.103
9.008	9.313	9.717	9.520	10.081	10.375	10.215	10.479	9.660	8.951	10.337
8.587	9.340	8.503	9.815	8.270	8.924	7.439	9.462	8.814	9.530	6.328
8.796	9.472	6.826	8.894	9.863	8.926	8.058	8.592	8.406	8.004	11.497
10.819	10.099	11.158	9.541	11.543	10.656	11.094	10.774	10.739	10.355	17.180
7.809	7.748	9.649	7.778	7.109	7.751	8.495	7.457	6.614	8.124	11.819
11.732	12.319	11.982	12.154	12.678	12.058	11.134	10.341	11.413	11.563	16.227
12.357	12.549	12.236	12.012	12.062	13.785	11.329	11.943	12.953	11.564	14.380
8.827	8.999	11.104	8.609	8.820	9.072	9.703	10.935	9.650	10.089	15.201
10.185	10.446	9.843	9.837	9.500	9.956	9.624	9.735	10.189	9.455	11.840
7.549	7.867	6.405	9.013	7.381	11.428	8.305	11.025	9.486	8.623	5.252
10.455	10.343	11.631	10.175	12.191	11.817	11.169	12.103	11.358	11.706	14.454
9.404	8.626	9.395	9.053	8.440	8.619	10.742	10.823	10.356	9.024	14.919
11.942	12.459	12.624	12.453	13.875	11.735	10.654	11.219	11.889	13.731	14.142
10.077	10.557	8.579	9.636	7.161	8.613	8.523	9.395	10.087	8.290	13.076
11.311	11.799	10.679	11.102	10.581	11.392	10.146	10.780	11.441	10.371	14.152
9.969	8.664	9.790	9.883	10.896	10.584	11.988	10.858	10.604	10.509	16.977
13.270	12.145	12.042	13.084	11.156	11.793	11.943	10.985	12.991	11.442	16.633
7.915	9.174	8.749	8.704	7.378	9.310	8.852	10.528	9.187	8.976	11.033
12.742	12.436	11.711	11.936	12.355	11.697	10.656	9.712	11.452	11.048	17.417
9.112	9.453	9.285	9.319	9.893	8.155	8.550	8.790	8.605	9.675	13.929
10.250	10.636	10.480	10.874	10.490	8.725	8.767	9.378	9.747	11.612	12.989
8.282	9.477	8.340	9.372	9.815	10.786	8.585	11.210	10.128	8.410	8.447
