battery	power									
A	1.55									
A	1.23									
A	1.28									
A	1.44									
A	1.29									
A	1.56									
A	1.43									
A	1.22									
A	1.36									
A	1.32									
B	1.11									
B	1.26									
B	1.24									
B	1.24									
B	1.05									
B	1.28
B	1.15
B	1.23
B	1.24
B	1.26
C	1.24
C	1.11
C	1.53
C	1.21
C	1.30
C	1.30
C	1.09
C	1.06
C	1.00
C	1.20
D	1.38
D	1.50
D	1.20
D	1.19
D	1.32
D	1.04
D	1.11
D	1.05
D	1.19
D	1.10
E	1.05
E	1.17
E	1.15
E	1.21
E	1.07
E	1.28
E	1.14
E	1.42
E	1.29
E	1.25
