treatment	concentration						
n0	1.31						
n0	1.57						
n0	1.09						
n0	1.16						
n0	1.62						
n0	1.75						
n0	1.02						
n0	1.63						
n6	1.70						
n6	1.96						
n6	1.67						
n6	1.04						
n6	1.32						
n6	1.10						
n6	0.84						
n6	1.57						
n24	1.23						
n24	1.39						
n24	0.67						
n24	1.34						
n24	1.52						
n24	1.16						
n24	1.27						
n24	1.20						
n96	1.24						
n96	1.50						
n96	0.96						
n96	0.69						
n96	0.92						
n96	0.84						
n96	1.06						
n96	1.41
n336	1.20
n336	1.14
n336	1.69
n336	0.89
n336	0.95
n336	1.17
n336	0.87
n336	1.52
f0	1.85
f0	1.21
f0	0.82
f0	0.92
f0	1.50
f0	1.66
f0	1.49
f0	1.32
f6	1.68
f6	1.05
f6	1.64
f6	1.32
f6	1.92
f6	1.35
f6	1.95
f6	0.74
f24	1.32
f24	1.37
f24	0.95
f24	1.71
f24	1.08
f24	1.02
f24	0.95
f24	NA			
f96	1.50			
f96	1.07			
f96	1.52			
f96	1.77			
f96	1.64			
f96	0.98			
f96	1.65			
f96	2.01			
f336	1.01			
f336	1.30			
f336	0.99			
f336	0.81			
f336	1.08			
f336	1.37			
f336	NA			
f336	NA
