subject	angle	width	response
1	1	1	14.2
1	1	2	7.6
1	1	3	11
1	2	1	7.3
1	2	2	9
1	2	3	16.4
1	3	1	15.4
1	3	2	19.1
1	3	3	22.2
2	1	1	7.3
2	1	2	10.4
2	1	3	10.4
2	2	1	15
2	2	2	12.5
2	2	3	12.9
2	3	1	4.6
2	3	2	12.6
2	3	3	16.4
3	1	1	6.5
3	1	2	13.1
3	1	3	15.7
3	2	1	9.7
3	2	2	14.3
3	2	3	18.8
3	3	1	10.8
3	3	2	20.7
3	3	3	15.1
4	1	1	10.8
4	1	2	9.4
4	1	3	16.5
4	2	1	-1.1
4	2	2	4.8
4	2	3	11.7
4	3	1	14.5
4	3	2	9.7
4	3	3	15.3
5	1	1	6.7
5	1	2	11.3
5	1	3	15.6
5	2	1	8.5
5	2	2	9.4
5	2	3	16
5	3	1	13.2
5	3	2	14.3
5	3	3	17.2
6	1	1	4.9
6	1	2	5.4
6	1	3	21
6	2	1	14
6	2	2	7.9
6	2	3	14.3
6	3	1	13.4
6	3	2	13.8
6	3	3	14.1
7	1	1	10.9
7	1	2	8
7	1	3	13.7
7	2	1	13.7
7	2	2	8.8
7	2	3	12.1
7	3	1	8.1
7	3	2	19.3
7	3	3	17.7
8	1	1	12.5
8	1	2	11.6
8	1	3	11.9
8	2	1	14.1
8	2	2	11.9
8	2	3	13.7
8	3	1	9.6
8	3	2	7.6
8	3	3	10.1
9	1	1	7.1
9	1	2	13.6
9	1	3	10.3
9	2	1	11.8
9	2	2	13.4
9	2	3	8.7
9	3	1	6.8
9	3	2	7.2
9	3	3	19.1
10	1	1	6.2
10	1	2	12.8
10	1	3	15.2
10	2	1	13.7
10	2	2	15
10	2	3	14.5
10	3	1	15.6
10	3	2	22.6
10	3	3	17.4
11	1	1	17.5
11	1	2	11.9
11	1	3	3.5
11	2	1	12
11	2	2	11.2
11	2	3	13.7
11	3	1	8.9
11	3	2	14.4
11	3	3	14.4
12	1	1	6.5
12	1	2	11.6
12	1	3	11.8
12	2	1	11.4
12	2	2	9.8
12	2	3	9.9
12	3	1	10.3
12	3	2	8.2
12	3	3	18.7
13	1	1	19.6
13	1	2	15.3
13	1	3	8.8
13	2	1	6.1
13	2	2	14.1
13	2	3	14
13	3	1	17.3
13	3	2	8.4
13	3	3	20
14	1	1	11
14	1	2	13.3
14	1	3	12.4
14	2	1	12.1
14	2	2	0.8
14	2	3	5
14	3	1	8.2
14	3	2	10.6
14	3	3	8.6
15	1	1	17.6
15	1	2	10.1
15	1	3	16.3
15	2	1	3.5
15	2	2	9.6
15	2	3	8.9
15	3	1	13.5
15	3	2	10.5
15	3	3	15.5
