store	package	sales	average.weekly.sales
1	old	1406	2888
2	old	1134	2416
3	old	1124	2684
4	old	497	816
5	old	621	1688
6	old	309	1256
7	old	1172	3008
8	old	1599	2560
9	old	693	1464
10	old	800	1220
11	old	965	1724
12	old	445	1240
13	old	1357	3076
14	old	868	1904
15	old	899	2112
1	new	1351	2888
2	new	1135	2416
3	new	1607	2684
4	new	484	816
5	new	1084	1688
6	new	726	1256
7	new	1732	3008
8	new	1045	2560
9	new	913	1464
10	new	533	1220
11	new	868	1724
12	new	816	1240
13	new	1418	3076
14	new	1033	1904
15	new	1389	2112
