time	flowrate
1	103
2	104.1
3	105.7
4	105
5	104.8
6	104
7	106.6
8	106.9
9	104
10	105.3
11	105.4
12	107.3
13	109.4
14	105.6
15	106
16	107.6
17	106.6
18	106.3
19	103.2
20	109.1
21	106.4
22	107.7
23	104.5
24	103
25	108.1
26	106.9
27	103.1
28	105.8
29	105.2
30	105.2
31	110.7
32	103.9
33	105.4
34	107.4
35	106.4
36	104.9
37	104.2
38	105.1
39	104.8
40	102.5
41	106.2
42	106.7
43	103.3
44	105.1
45	103.4
46	104.7
47	103.6
48	105.3
49	104.3
50	100.9
51	103.2
52	104.5
53	105
54	102.7
55	104.7
56	103.2
57	102.5
58	101.9
59	103.4
60	104.8
61	101
62	104.3
63	102.7
64	101.2
65	101.9
66	104
67	102.2
68	103.6
69	102.3
70	101.2
71	100.4
72	99
73	105.1
74	100.6
75	100.5
76	99.5
77	101.8
78	101.3
79	97.6
80	100.9
81	96.5
82	99.1
83	100.9
84	101.2
85	99.9
86	101.1
87	100.3
88	102.2
89	103.1
90	98.4
91	99.3
92	98.5
93	98.7
94	101.2
95	96
96	99.2
97	97.6
98	100.6
99	96.9
100	100.9
101	100
102	99.1
103	96
104	97.5
105	99.4
106	97.6
107	100.4
108	98.3
109	97
110	94.2
111	99.6
112	98.8
113	98.6
114	101
115	96.4
116	96.8
117	96.4
118	98.5
119	100.6
120	99.1
121	97.7
122	99.2
123	99.7
124	97.6
125	94.8
126	98.9
127	101.2
128	97.1
129	97.7
130	95.8
131	100.6
132	100.2
133	97.2
134	98.9
135	97.3
136	101.4
137	98.8
138	101.5
139	101.5
140	101.2
141	97.9
142	100.6
143	103.5
144	100.7
145	97.9
146	99.2
147	99.6
148	100.6
149	100.2
150	103
151	101.6
152	102.1
153	96.9
154	100
155	99.7
156	104.9
157	101.6
158	104.9
159	103.2
160	97.6
161	102.3
162	102.9
163	101.3
164	98
165	99.5
166	105.3
167	103.5
168	105.7
169	103.8
170	99.7
171	102.4
172	104.9
173	101.9
174	100.2
175	102.5
176	103.1
177	102
178	101.1
179	101.9
180	105.7
