item	stated.number	item.price	stated.value	actual.number	actual.value			
1	1335	0.61	814.35	1335	814.35			
25	1192	1.64	1954.88	1192	1954.88			
39	1294	1.50	1941.00	1294	1941.00			
53	1269	2.04	2588.76	1269	2588.76			
56	1427	3.24	4623.48	1419	4597.56			
121	1529	2.81	4296.49	1529	4296.49			
207	1446	2.48	3586.08	1446	3586.08			
212	1106	1.13	1249.78	1106	1249.78			
223	847	4.95	4192.65	847	4192.65			
225	1016	10.27	10434.32	1016	10434.32			
240	1105	3.5	3867.50	1105	3867.5			
252	1297	2.25	2918.25	1297	2918.25			
257	780	0.76	592.80	807	613.32			
260	1361	1.74	2368.14	1361	2368.14			
331	1306	3.11	4061.66	1346	4186.06			
389	1083	4.27	4624.41	1080	4611.6		
408	974	1.51	1470.74	974	1470.74		
413	893	0.64	571.52	892	570.88		
443	1502	4.3	6458.60	1502	6458.6		
477	1248	1.14	1422.72	1248	1422.72		
480	1663	1.39	2311.57	1663	2311.57		
483	878	0.69	605.82	878	605.82		
485	1314	4.38	5755.32	1295	5672.1		
493	897	4.56	4090.32	897	4090.32		
507	1486	1.04	1545.44	1486	1545.44		
561	1558	2.89	4502.62	1558	4502.62		
569	1208	4.51	5448.08	1208	5448.08		
577	1248	1.32	1647.36	1229	1622.28		
585	1252	1.93	2416.36	1252	2416.36		
620	925	2.62	2423.50	975	2554.5		
628	1235	1.96	2420.60	1223	2397.08		
664	1233	0.55	678.15	1233	678.15		
707	1153	1.53	1764.09	1153	1764.09		
724	1041	3.17	3299.97	1041	3299.97		
767	1055	3.18	3354.90	1010	3211.8		
770	1118	4.07	4550.26	1156	4704.92		
827	915	0.35	320.25	915	320.25		
831	1025	0.83	850.75	1025	850.75		
853	827	1.93	1596.11	827	1596.11		
855	798	3.02	2409.96	798	2409.96		
877	1340	0.74	991.60	1340	991.6		
946	1100	5.34	5874.00	1100	5874		
1002	785	1.53	1201.05	785	1201.05		
1051	602	0.07	42.14	602	42.14		
1053	1283	0.59	756.97	1283	756.97		
1134	1272	2.32	2951.04	1272	2951.04		
1215	1215	2.99	3632.85	1215	3632.85		
1234	1828	3.12	5703.36	1828	5703.36		
1236	868	5.15	4470.20	868	4470.2		
1239	1066	2.81	2995.46	1066	2995.46		
