time	y
1	11.54
2	9.65
3	11.38
4	11.67
5	11.49
6	11.99
7	10.06
8	10.54
9	11.85
10	13.04
11	12.62
12	13.73
13	12.59
14	10.63
15	11.77
16	12.53
17	12.86
18	14.55
19	13.42
20	11.78
21	12.02
22	11.05
23	11.9
24	11.31
25	11.39
26	11.33
27	11.69
28	13.25
29	13
30	12.72
31	12.23
32	11.48
33	10.22
34	10.95
35	8.89
36	8.76
37	9.98
38	10.69
39	11.22
40	13.27
41	14.27
42	13.48
43	11.82
44	12.28
45	10.96
46	11.49
47	9.89
48	8.67
49	8.14
50	10.73
51	11.16
52	9.65
53	9.72
54	9.83
55	9.59
56	7.53
57	9.5
58	10.08
59	10.27
60	10.16
61	10.91
62	10.53
63	10.96
64	12.71
65	10.98
66	11.27
67	10.65
68	10.81
69	8.66
70	10.34
71	11.51
72	11.09
73	11.01
74	11.1
75	12.89
76	12.91
77	11.8
78	10.23
79	10.06
80	10.24
81	10.08
82	10.16
83	10.51
84	10.3
85	11.17
86	10.62
87	10.71
88	12.43
89	12.67
90	12.45
91	11.76
92	13.85
93	14.23
94	11.54
95	13.19
96	13.7
97	12.58
98	13.01
99	12.56
100	14.2
