size	stories	baths	rooms	age	lotsize	basement	garage	value
192	1	2	6	3	348	1	1	318
198	2	2	6	11	623	0	1	385
178	1	1	6	13	598	1	1	229
121	1	1	6	28	733	1	0	141
158	2	1	6	2	501	1	1	280
225	2	2	6	4	546	1	1	284
200	2	2	6	8	760	1	1	345
289	2	2.5	8	22	637	1	1	380
253	2	2.5	7	4	484	1	1	387
208	2	2	6	14	644	1	1	312
204	2	1.5	7	28	697	1	0	222
209	2	1.5	6	10	310	0	1	277
195	1	2	6	16	749	0	1	307
195	2	1.5	7	14	589	1	1	356
206	2	2	8	14	752	1	1	370
178	1	2	6	4	668	0	1	231
224	2	2	6	14	606	0	1	330
226	2	2	6	10	503	0	1	356
200	1	2	6	11	546	1	1	282
143	1	1.5	6	4	580	0	1	250
223	2	2	8	24	702	1	1	343
234	2	2	8	10	620	1	1	402
217	2	1.5	6	14	754	1	1	289
159	1	1.5	6	22	653	1	0	226
213	2	2	6	10	744	1	1	288
182	1	2	6	7	577	1	1	293
107	1	1	6	11	751	1	0	236
194	2	1	9	27	920	1	0	300
169	1	1	7	11	498	1	1	209
220	1	2	6	11	685	1	1	433
233	2	1.5	7	27	709	1	1	314
180	1	2	8	12	686	0	1	218
146	2	1	8	32	945	1	0	206
187	1	2	7	25	826	0	0	334
171	1	1.5	9	32	916	1	0	201
209	1	2	6	13	749	1	1	271
261	2	2.5	6	8	466	0	1	359
200	2	2	8	33	745	0	0	304
198	1	1.5	6	22	693	1	1	254
179	2	1.5	6	27	813	0	0	294
280	2	2.5	6	16	577	1	1	438
194	2	2	6	7	629	1	1	267
161	1	1.5	6	11	646	1	1	224
182	2	1.5	7	1	508	1	1	241
182	1	2	6	7	603	1	1	334
234	2	2	8	21	966	0	1	447
161	1	1.5	6	9	637	0	1	214
183	1	1.5	8	26	660	0	0	267
232	2	2	6	6	676	0	1	363
200	2	1.5	6	9	302	1	1	243
229	2	2	7	23	710	1	1	299
243	2	2	8	28	845	1	1	315
170	1	1.5	6	24	836	1	0	262
219	1	2	8	28	679	1	1	283
204	1	1.5	10	45	1171	1	0	297
243	2	2	6	13	673	0	1	371
214	2	2	6	12	613	0	1	360
234	2	2	6	19	807	1	1	388
145	1	1.5	6	13	684	0	1	242
121	1	1	6	26	703	1	0	168
180	1	1.5	8	44	842	0	0	147
172	1	1	6	39	891	0	0	217
234	2	2	7	13	542	0	1	364
211	2	1.5	9	8	606	1	1	360
192	2	1.5	9	24	795	0	1	222
187	2	2	6	41	853	1	0	309
197	2	1	8	27	679	1	1	310
198	2	1.5	6	16	712	1	1	341
199	1	2	7	18	714	1	1	276
189	2	2	6	2	666	0	1	377
218	2	2	7	22	723	1	1	331
169	1	1.5	6	15	514	1	0	306
249	2	2	6	4	487	1	1	400
144	2	1.5	6	19	777	1	1	249
242	2	2	6	12	551	1	1	297
195	2	2	6	16	738	1	1	323
222	2	1.5	9	11	644	1	1	387
171	2	1.5	6	7	530	0	1	222
239	2	2	7	23	814	1	1	368
170	2	1.5	6	20	670	1	0	332
139	2	1.5	6	1	419	1	1	182
186	1	1.5	6	13	758	1	1	287
238	2	2	6	2	457	0	1	364
176	2	2	6	13	601	1	1	192
182	1	1.5	6	19	702	1	0	273
257	2	2	10	52	1133	1	0	343
169	2	1.5	6	4	630	0	1	210
185	1	1.5	6	18	713	1	1	216
204	1	2	6	20	620	1	1	229
189	1	1.5	6	29	777	1	0	245
215	1	2.5	7	4	471	0	1	306
201	2	2	6	7	740	0	1	321
214	2	1.5	6	19	829	1	0	377
229	1	2	7	9	667	1	1	398
199	2	1.5	6	14	752	0	1	369
202	1	1.5	6	20	704	1	1	244
151	2	1	6	27	582	1	0	226
161	2	1	7	13	636	0	1	181
154	1	2	6	9	601	1	1	170
200	2	1.5	7	11	721	1	1	319
