weight 	length				
31.9	43.9				
32.3	44				
32	44.6				
33.6	45.7				
33.4	46.4				
32.9	44.9				
33	45.3				
33.7	46.4				
33.2	45.4				
33	44.8				
33.4	45.6				
33.5	45.8				
34	46.3				
32.3	44.4				
32.2	43.9				
33.2	45.4		
33.4	45		
32.4	44.1		
33.1	45		
32.7	45.2		
33.7	46.3		
33.4	45.2		
32.8	45.1		
32.9	44.5		
34.5	46.9		
34.3	47.6		
33	45.7		
34.3	47.5		
32.5	44.7		
34.2	47		
33.6	46		
32.9	45.4		
33.3	46.1		
34.9	47.5		
33.6	45.9		
33.6	45.8		
32.4	44.1		
33.5	45.8		
33.4	46.2		
33.6	46.8		
33.24	45.555		
0.690521913	1.005357444		
			
			
			
			
			
			
			
			
			
			
			
			
