x1	x2	x3	x4	x5	x6	pst.score	sat.score
1	0	0	0	0	0	0.2	0.79
1	0	0	0	0	0	0.8	1.58
1	0	0	0	0	0	0.3	1.03
1	0	0	0	0	0	0.8	1.87
1	0	0	0	0	0	0.5	1.30
1	0	0	0	0	0	0.4	1.42
1	0	0	0	0	0	0.8	1.70
1	0	0	0	0	0	0.4	1.49
0	1	0	0	0	0	0.0	0.53
0	1	0	0	0	0	0.0	0.56
0	1	0	0	0	0	0.9	1.98
0	1	0	0	0	0	0.1	1.05
0	1	0	0	0	0	0.4	1.21
0	1	0	0	0	0	0.9	2.04
0	1	0	0	0	0	0.8	1.86
0	1	0	0	0	0	1.0	2.47
0	0	1	0	0	0	0.3	0.82
0	0	1	0	0	0	0.2	0.97
0	0	1	0	0	0	0.3	1.12
0	0	1	0	0	0	0.6	2.10
0	0	1	0	0	0	0.1	0.75
0	0	1	0	0	0	0.8	2.15
0	0	1	0	0	0	0.3	1.36
0	0	1	0	0	0	0.7	1.95
0	0	0	1	0	0	0.8	2.04
0	0	0	1	0	0	0.1	0.23
0	0	0	1	0	0	0.0	0.48
0	0	0	1	0	0	0.3	1.06
0	0	0	1	0	0	0.3	1.07
0	0	0	1	0	0	0.3	1.37
0	0	0	1	0	0	0.9	2.13
0	0	0	1	0	0	0.1	0.74
0	0	0	0	1	0	0.1	1.20
0	0	0	0	1	0	0.3	1.36
0	0	0	0	1	0	0.3	1.69
0	0	0	0	1	0	0.1	0.81
0	0	0	0	1	0	0.1	0.83
0	0	0	0	1	0	0.2	0.94
0	0	0	0	1	0	0.5	2.02
0	0	0	0	1	0	0.3	1.36
0	0	0	0	0	1	0.6	1.95
0	0	0	0	0	1	0.9	2.19
0	0	0	0	0	1	0.4	1.43
0	0	0	0	0	1	0.5	1.69
0	0	0	0	0	1	0.7	1.96
0	0	0	0	0	1	0.6	2.07
0	0	0	0	0	1	0.3	1.33
0	0	0	0	0	1	0.5	1.75
