day	sales
1	17.7
2	16.47
3	15.77
4	14.4
5	12.73
6	12.01
7	12.94
8	14.36
9	15
10	14.65
11	14.69
12	13.98
13	13.47
14	12.21
15	11.37
16	10.07
17	8.06
18	8.11
19	9.34
20	8.45
21	7.43
22	8.38
23	8.74
24	9
25	10.26
26	11.03
27	11.08
28	11.36
29	9.77
30	7.59
31	7.52
32	7.56
33	7.19
34	7.29
35	7.51
36	8.35
37	9.46
38	9.27
39	10.57
40	11.29
41	10.24
42	10.41
43	10.06
44	9.68
45	10.61
46	11.3
47	12.21
48	12.36
49	12.82
50	12.97
51	12.44
52	13.83
53	14.64
54	15.16
55	14.65
56	15.66
57	17.33
58	17.2
59	17.79
60	17.38
61	15.55
62	15.92
63	16.86
64	17.8
65	18.22
66	17.31
67	16.91
68	17.54
69	19.28
70	19.88
71	19.92
72	20.3
73	21.05
74	21.17
75	20.84
76	21.2
77	21.13
78	20.84
79	19.54
80	18.98
81	19.65
82	19.49
83	17.27
84	16.25
85	18.1
86	18.21
87	17.96
88	17.47
89	16.66
90	18.15
91	19.86
92	19.7
93	18.48
94	16.61
95	15.26
96	16.12
97	18.32
98	19.26
99	18.05
100	16.84
101	16.76
102	17.21
103	17.98
104	16.68
105	14.87
106	14.2
107	13.35
108	13.33
109	14.11
110	15.09
111	15.6
112	14.97
113	14.78
114	14.49
115	13.47
116	13.96
117	14.92
118	14.96
119	14.91
120	13.71
121	12.26
122	13
123	14.05
124	14.37
125	14.35
126	15.24
127	15.98
128	17.54
129	20.02
130	21
131	21.37
132	21.72
133	22.36
134	22.95
135	22.54
136	21.3
137	20.21
138	20.29
139	22.32
140	23.27
141	22.96
142	23.37
143	23.48
144	23.92
145	24.83
146	24.19
147	22.38
148	21.41
149	21.43
150	21.97
151	22.56
152	21.4
153	18.53
154	15.98
155	14.85
156	14.27
157	15.18
158	15.96
159	15.44
160	15.25
161	14.98
162	16.39
163	18.24
164	17.92
165	16.94
166	16.34
167	15.49
168	15.17
169	15.4
170	14.74
171	15.31
172	15.57
173	13.55
174	10.91
175	11.41
176	12.61
177	12.53
178	13.7
179	15.03
180	14.76
181	14.14
182	13.83
183	12.87
184	13.67
185	16.47
186	19.06
187	18.8
188	18.73
189	20.83
190	19.97
191	19.65
192	20.24
193	19.69
194	19.58
195	19.49
196	18.79
197	18.26
198	18.28
199	18.42
200	19.36
