x1	x2	y
0.8	0.53	11.6
0.79	0.08	12.64
0.48	0.62	12.13
0.21	0.48	12.57
0.41	0.35	11.82
0.74	0.37	11.8
0.81	0.03	12.53
0.13	0.16	11.44
0.47	0.2	12.65
0.91	0.75	13.18
0.31	0.17	12.84
0.8	0.53	12.22
0.73	0.1	12.91
0.68	0.65	12.34
0.88	0.98	13.09
0.53	0.13	13.51
0.47	0.7	12.09
0.88	0.16	12.85
0.96	0.11	12.58
0.95	0.51	12.15
0.51	0.84	12.25
0.5	0.38	11.45
0.26	0.62	11.6
0.35	0.81	11.62
0.46	0.25	11.98
0.38	0.94	11.16
0.57	0.5	12.74
0.85	0.77	13.11
0.74	0.41	12.27
0.3	0.68	12.23
0.69	0.75	12.64
0.81	0.64	13.13
0.46	0.64	11.56
0.06	0.55	11.16
0.77	0.22	13.08
0.8	0.04	13.01
0.01	0.24	10.79
0.5	0.8	11.87
0.49	0.5	11.82
0.47	0.69	11.55
0.26	0.56	11.27
0.15	0.65	11.56
0.59	0.44	12.59
0.55	0.49	12.64
0.43	0.41	12.2
0.7	0.17	12.07
0.06	0.6	10.6
0.11	0.42	11.08
0.47	0.67	11.32
0.06	0.03	12.17
0.62	0.73	13.39
0.86	0.98	12.72
0.44	0.36	12.17
0.03	0.25	11.1
0.89	0.14	13.13
0.14	0.8	11.83
0.32	0.21	12.01
0.58	0.66	12.44
0.72	0.83	13.11
0.74	0.56	12.19
