x1	x2	y
0.876	0.769	10.063
0.73	0.799	12.712
0.593	0.545	7.7
0.274	0.144	9.9
0.844	0.84	2.354
0.715	0.033	23.244
0.453	0.33	4.477
0.409	0.83	6.025
0.487	0.901	4.53
0.889	0.128	7.338
0.294	0.15	8.407
0.026	0.531	2.999
0.827	0.082	9.763
0.531	0.931	5.458
0.288	0.697	2.634
0.247	0.804	1.652
0.974	0.689	9.878
0.269	0.695	5.695
0.756	0.351	11.373
0.327	0.68	5.463
0.942	0.686	8.606
0.685	0.688	9.786
0.894	0.005	11.39
0.918	0.57	11.416
0.356	0.232	7.058
0.362	0.502	6.9
0.517	0.973	6.571
0.045	0.558	3.354
0.569	0.288	13.186
0.022	0.395	2.985
0.785	0.346	15.801
0.073	0.062	5.575
0.961	0.304	7.706
0.944	0.774	8.254
0.824	0.876	9.415
0.529	0.755	8.963
0.534	0.04	12.702
0.332	0.061	7.284
0.985	0.968	7.95
0.938	0.739	10.548
0.667	0.177	9.002
0.36	0.421	5.374
0.81	0.336	19.037
0.322	0.634	5.996
0.649	0.529	7.581
0.805	0.829	10.734
0.495	0.551	3.97
0.999	0.292	12.699
0.045	0.752	2.404
0.326	0.813	6.563
