x1	x2	x3	x4	y
0.947	1.375	2.411	0.469	-1.330
-1.468	-2.338	-4.539	-3.290	-0.033
0.691	-0.140	-2.937	2.479	2.173
1.503	3.250	4.720	1.643	0.003
-0.261	-1.350	-2.139	-1.042	-2.235
-0.711	-1.510	-2.944	-1.575	-3.827
1.868	3.431	4.331	1.852	4.655
0.595	-0.165	-0.847	1.061	2.153
0.582	1.092	3.922	0.317	-2.912
0.986	-0.580	-4.565	2.395	2.364
-0.587	0.174	1.262	-1.696	1.424
0.035	-1.492	-2.385	-0.666	0.282
0.892	-1.308	-4.892	0.612	2.972
2.056	1.250	0.431	1.619	8.091
0.122	2.357	5.074	1.674	1.279
-0.175	-0.282	-0.101	-0.339	2.328
-2.463	-0.478	2.127	-1.374	-6.338
0.671	0.024	-1.595	0.534	1.926
-0.660	-1.270	-2.092	-2.051	-1.971
-1.220	-1.147	-0.987	-0.542	-3.649
-0.468	-0.557	0.872	-0.592	-0.234
-0.430	-0.551	0.207	-0.350	-4.466
-0.608	-0.988	-1.009	-0.310	-0.615
1.043	-0.607	-4.073	-0.163	-0.357
-0.486	-0.090	-0.993	-0.068	1.523
-1.924	-2.866	-4.396	-2.595	-3.936
-1.656	-1.183	-0.038	-2.982	-4.201
0.238	-0.954	-2.197	0.057	-0.029
0.176	1.920	2.757	1.462	-0.490
-0.246	0.160	1.760	-1.554	0.282
-1.061	-1.615	-3.399	-1.017	-2.544
0.397	0.186	1.428	-3.230	0.214
0.132	-1.525	-2.401	0.617	-0.823
-0.878	-1.954	-3.407	0.231	-3.704
1.445	0.823	-0.669	0.413	2.403
-1.268	0.033	1.650	-0.393	-1.360
-1.968	-1.893	-2.339	-1.536	-2.491
0.207	0.650	4.118	-1.255	-0.669
-0.451	0.304	0.948	-0.183	0.612
-1.459	-0.771	0.703	-0.963	0.025
0.533	1.348	2.106	0.352	-0.075
-1.091	-1.336	-0.833	-0.258	-3.035
1.669	1.566	0.397	1.125	6.052
-0.244	-0.031	0.322	-1.690	1.592
0.325	0.169	-1.345	1.491	2.378
-0.858	-1.039	0.006	-0.082	-0.416
-0.570	-0.428	-0.313	-0.444	-4.397
-2.094	-2.510	-4.056	-5.124	-4.250
0.325	-1.285	-3.894	2.062	2.413
1.132	0.944	2.224	1.124	1.446
-0.519	-0.363	-0.379	-1.767	-1.033
1.420	0.818	-0.160	1.197	2.107
-0.453	-0.482	0.744	0.478	-1.597
0.779	1.379	1.281	-1.236	1.448
-0.378	-0.046	0.775	1.176	5.407
-1.035	-1.147	0.047	0.516	1.668
0.581	0.012	-0.784	-0.162	3.226
0.281	1.091	1.434	0.339	-0.313
-1.761	-0.907	-2.580	-1.489	-0.999
-0.044	1.282	1.925	-0.831	5.014
1.855	1.960	1.670	0.807	3.152
-2.576	-3.019	-4.161	-2.336	-4.190
-0.347	-0.222	-1.608	0.533	-2.716
0.198	-0.606	-3.132	-0.113	-1.578
-1.077	-2.065	-1.954	-2.202	-4.847
-0.654	-0.214	0.477	0.926	-5.202
0.297	0.389	1.206	0.259	-3.986
0.508	0.032	1.292	0.199	1.676
0.515	1.901	2.438	-1.188	3.476
-0.765	-0.386	0.433	-0.728	-1.194
-0.657	0.829	2.526	-1.177	-0.233
1.692	1.909	3.573	1.393	0.946
-0.247	0.279	0.123	-0.072	-0.582
-0.088	-0.392	-2.540	0.933	-1.239
0.581	0.073	-0.536	0.535	0.184
-0.105	-0.699	-2.270	0.721	-0.421
-1.299	-0.607	-0.260	-1.488	-0.290
0.822	-0.283	-2.453	1.688	2.912
-0.244	-0.852	-1.464	-0.396	-1.096
-0.546	-0.936	-1.729	-2.043	3.869
-1.133	0.045	2.315	-1.311	-2.331
-1.743	-2.282	-3.166	-2.085	-4.905
0.203	0.303	-0.750	1.941	-0.650
-1.941	-1.852	-0.913	-2.769	-8.051
-1.303	-2.225	-4.280	-1.213	-1.210
-1.317	-2.258	-3.581	-0.879	-4.006
0.716	2.580	3.695	1.161	-0.271
0.134	0.738	1.840	1.004	-0.637
-0.062	1.549	2.541	-1.222	-1.771
-0.124	-1.732	-3.098	0.583	1.765
0.576	0.695	0.732	1.907	2.324
0.802	1.360	3.356	0.945	1.727
-0.271	0.520	1.704	0.909	0.277
-0.974	-1.918	-1.815	-1.050	-1.164
0.344	-3.212	-6.549	-0.386	-2.698
0.029	1.017	1.208	-0.103	-1.181
0.058	-0.392	-1.187	0.013	1.589
-0.264	0.084	-0.166	0.873	-0.693
0.435	-0.437	-3.389	0.393	0.271
-0.920	-1.421	-1.204	-1.330	-3.665
