mtempc	year	month	jan	feb	mar	apr	may	june	july	aug	sept	oct	nov
-4.2	1951	1	1	0	0	0	0	0	0	0	0	0	0
-4.3	1951	2	0	1	0	0	0	0	0	0	0	0	0
0.2	1951	3	0	0	1	0	0	0	0	0	0	0	0
6.3	1951	4	0	0	0	1	0	0	0	0	0	0	0
13.7	1951	5	0	0	0	0	1	0	0	0	0	0	0
17.7	1951	6	0	0	0	0	0	1	0	0	0	0	0
20.9	1951	7	0	0	0	0	0	0	1	0	0	0	0
19.4	1951	8	0	0	0	0	0	0	0	1	0	0	0
15.4	1951	9	0	0	0	0	0	0	0	0	1	0	0
9.9	1951	10	0	0	0	0	0	0	0	0	0	1	0
0.2	1951	11	0	0	0	0	0	0	0	0	0	0	1
-3.3	1951	12	0	0	0	0	0	0	0	0	0	0	0
-4.6	1952	1	1	0	0	0	0	0	0	0	0	0	0
-3.6	1952	2	0	1	0	0	0	0	0	0	0	0	0
-1	1952	3	0	0	1	0	0	0	0	0	0	0	0
8.4	1952	4	0	0	0	1	0	0	0	0	0	0	0
11.6	1952	5	0	0	0	0	1	0	0	0	0	0	0
19	1952	6	0	0	0	0	0	1	0	0	0	0	0
22.8	1952	7	0	0	0	0	0	0	1	0	0	0	0
19.8	1952	8	0	0	0	0	0	0	0	1	0	0	0
17	1952	9	0	0	0	0	0	0	0	0	1	0	0
6.9	1952	10	0	0	0	0	0	0	0	0	0	1	0
4.6	1952	11	0	0	0	0	0	0	0	0	0	0	1
-0.1	1952	12	0	0	0	0	0	0	0	0	0	0	0
-2.8	1953	1	1	0	0	0	0	0	0	0	0	0	0
-2.2	1953	2	0	1	0	0	0	0	0	0	0	0	0
1.2	1953	3	0	0	1	0	0	0	0	0	0	0	0
5.7	1953	4	0	0	0	1	0	0	0	0	0	0	0
13	1953	5	0	0	0	0	1	0	0	0	0	0	0
18.4	1953	6	0	0	0	0	0	1	0	0	0	0	0
21.1	1953	7	0	0	0	0	0	0	1	0	0	0	0
20.6	1953	8	0	0	0	0	0	0	0	1	0	0	0
16	1953	9	0	0	0	0	0	0	0	0	1	0	0
10.4	1953	10	0	0	0	0	0	0	0	0	0	1	0
5.4	1953	11	0	0	0	0	0	0	0	0	0	0	1
-0.5	1953	12	0	0	0	0	0	0	0	0	0	0	0
-7.9	1954	1	1	0	0	0	0	0	0	0	0	0	0
